elbo,kl,recon_loss,reconstruction,epoch,step
4290.189453125,19.19218635559082,-4270.9970703125,-4270.9970703125,0,49
4066.505859375,35.36959457397461,-4031.135986328125,-4031.135986328125,1,99
3919.08740234375,42.811614990234375,-3876.27587890625,-3876.27587890625,1,149
